keyword,category,description,term,match_type
inflation,inflation_prices,References to inflation and overall price pressure.,inflation,word
inflation expectations,inflation_prices,References to expected future inflation.,inflation expectations,exact_phrase
inflation expectations,inflation_prices,References to expected future inflation.,inflation expectation,exact_phrase
inflation expectations,inflation_prices,References to expected future inflation.,longer-term inflation expectations,exact_phrase
inflation expectations,inflation_prices,References to expected future inflation.,long-term inflation expectations,exact_phrase
inflation expectations,inflation_prices,References to expected future inflation.,longer run inflation expectations,exact_phrase
inflation expectations,inflation_prices,References to expected future inflation.,longer-run inflation expectations,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer-run goal,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer run goal,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer-run objective,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer run objective,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer-run inflation goal,exact_phrase
longer-run goal,inflation_prices,References to the Fed's longer-run inflation goal or objective.,longer run inflation goal,exact_phrase
longer-term expectations,inflation_prices,"References to longer-term expectations, especially inflation expectations.",longer-term expectations,exact_phrase
longer-term expectations,inflation_prices,"References to longer-term expectations, especially inflation expectations.",longer term expectations,exact_phrase
longer-term expectations,inflation_prices,"References to longer-term expectations, especially inflation expectations.",long-term expectations,exact_phrase
longer-term expectations,inflation_prices,"References to longer-term expectations, especially inflation expectations.",long term expectations,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,PCE prices,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,PCE price index,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,PCE inflation,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,total PCE prices,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,core PCE prices,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,core PCE price index,exact_phrase
PCE prices,inflation_prices,References to PCE price inflation measures.,core PCE inflation,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,energy price,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,energy prices,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,oil price,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,oil prices,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,gasoline price,exact_phrase
energy prices,inflation_prices,References to energy prices and energy-driven price pressure.,gasoline prices,exact_phrase
price stability,inflation_prices,References to the price-stability side of the Fed's mandate.,price stability,exact_phrase
price stability,inflation_prices,References to the price-stability side of the Fed's mandate.,stable prices,exact_phrase
disinflation,inflation_prices,References to slowing inflation or disinflationary progress.,disinflation,exact_phrase
disinflation,inflation_prices,References to slowing inflation or disinflationary progress.,disinflationary,exact_phrase
disinflation,inflation_prices,References to slowing inflation or disinflationary progress.,disinflationary process,exact_phrase
2 percent,inflation_prices,References to the Fed's 2 percent inflation objective.,2 percent,exact_phrase
2 percent,inflation_prices,References to the Fed's 2 percent inflation objective.,two percent,exact_phrase
2 percent,inflation_prices,References to the Fed's 2 percent inflation objective.,2 percent objective,exact_phrase
2 percent,inflation_prices,References to the Fed's 2 percent inflation objective.,2 percent goal,exact_phrase
labor market,labor_market,References to labor market conditions.,labor market,exact_phrase
labor market,labor_market,References to labor market conditions.,labor markets,exact_phrase
labor market,labor_market,References to labor market conditions.,labor market conditions,exact_phrase
nonfarm payrolls,labor_market,References to nonfarm payroll employment.,nonfarm payroll,exact_phrase
nonfarm payrolls,labor_market,References to nonfarm payroll employment.,nonfarm payrolls,exact_phrase
nonfarm payrolls,labor_market,References to nonfarm payroll employment.,payroll employment,exact_phrase
unemployment,labor_market,References to unemployment and the unemployment rate.,unemployment,exact_phrase
unemployment,labor_market,References to unemployment and the unemployment rate.,unemployment rate,exact_phrase
unemployment,labor_market,References to unemployment and the unemployment rate.,jobless rate,exact_phrase
labor force,labor_market,References to the labor force and participation.,labor force,exact_phrase
labor force,labor_market,References to the labor force and participation.,labor force participation,exact_phrase
labor force,labor_market,References to the labor force and participation.,participation rate,exact_phrase
employment,labor_market,References to employment conditions.,employment,exact_phrase
employment,labor_market,References to employment conditions.,maximum employment,exact_phrase
job gains,labor_market,References to job gains and hiring strength.,job gain,exact_phrase
job gains,labor_market,References to job gains and hiring strength.,job gains,exact_phrase
job gains,labor_market,References to job gains and hiring strength.,employment gains,exact_phrase
job gains,labor_market,References to job gains and hiring strength.,payroll gains,exact_phrase
wages,labor_market,References to wages and wage growth.,wage,word
wages,labor_market,References to wages and wage growth.,wages,word
wages,labor_market,References to wages and wage growth.,wage growth,exact_phrase
wages,labor_market,References to wages and wage growth.,compensation,word
labor demand,labor_market,References to demand for labor.,labor demand,exact_phrase
labor demand,labor_market,References to demand for labor.,demand for labor,exact_phrase
labor supply,labor_market,References to supply of labor.,labor supply,exact_phrase
labor supply,labor_market,References to supply of labor.,supply of labor,exact_phrase
interest rate,monetary_policy,References to interest rates generally.,interest rate,exact_phrase
interest rate,monetary_policy,References to interest rates generally.,interest rates,exact_phrase
interest rate,monetary_policy,References to interest rates generally.,rate,word
interest rate,monetary_policy,References to interest rates generally.,rates,word
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,federal funds rate,exact_phrase
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,federal funds target range,exact_phrase
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,target range for the federal funds rate,exact_phrase
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,target range,exact_phrase
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,policy rate,exact_phrase
federal funds rate,monetary_policy,References to the federal funds rate and its target range.,policy rates,exact_phrase
policy stance,monetary_policy,References to the stance of monetary policy.,policy stance,exact_phrase
policy stance,monetary_policy,References to the stance of monetary policy.,stance of monetary policy,exact_phrase
policy stance,monetary_policy,References to the stance of monetary policy.,monetary policy stance,exact_phrase
policy stance,monetary_policy,References to the stance of monetary policy.,be prepared to adjust the stance,exact_phrase
policy stance,monetary_policy,References to the stance of monetary policy.,adjust the stance,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,neutral,word
neutral rate,monetary_policy,References to neutral policy rate estimates.,neutral rate,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,neutral rates,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,neutral policy rate,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,neutral interest rate,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,plausible estimates of neutral,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,r-star,exact_phrase
neutral rate,monetary_policy,References to neutral policy rate estimates.,r*,exact_phrase
tight,monetary_policy,"Broad references to tight conditions; may include policy, financial, credit, or labor market contexts.",tight,word
tight,monetary_policy,"Broad references to tight conditions; may include policy, financial, credit, or labor market contexts.",tighter,word
tight,monetary_policy,"Broad references to tight conditions; may include policy, financial, credit, or labor market contexts.",tightest,word
tight financial conditions,monetary_policy,References to tight financial or credit conditions.,tight financial conditions,exact_phrase
tight financial conditions,monetary_policy,References to tight financial or credit conditions.,tighter financial conditions,exact_phrase
tight financial conditions,monetary_policy,References to tight financial or credit conditions.,tight credit conditions,exact_phrase
tight financial conditions,monetary_policy,References to tight financial or credit conditions.,tighter credit conditions,exact_phrase
